id;default;legal_form;zip_code;sector;year_inc;count_emp;type_pl;sales;gross_performance;gross_profit;earn_from_op;fin_result;oth_interest_inc;oth_interest_exp;result_from_ord_bus;total_result;annual_profit;total_assets;total_liabilities_st;total_liabilities_mt;total_liabilities_lt;bank_liabilities_st;bank_liabilities_mt;bank_liabilities_lt;trade_payables_st;trade_payables_mt;trade_payables_lt;bonds_payables_st;bonds_payables_mt;bonds_payables_lt;total_equity;current_assets;monetary_current_assets;cash;trade_receivables_st;trade_receivables_lt;cf_operating;cf_investment;cf_financing
C_578;0;GmbH;14109;82900;1999;270.0;GKV;54128315.45;54477401.21;36707243.16;3430720.97;-524702.21;75560.28;600262.49;2906018.76;2733836.76;1719425.97;24868241.33;12570297.61;0.0;7341773.0;;;;2536738.14;;;;;;4956170.72;21121343.53;14266825.85;1792740.84;5882730.91;;5096774.93;-2473949.23;-2500000.0
C_371;0;GmbH;13053;43210;2000;;GKV;4536343.85;4536343.85;2403089.61;571889.77;294.2;294.2;;572183.97;572183.97;439697.6;1883610.62;1284797.8;0.0;0.0;;;;;;;;;;598812.82;1579865.45;1425388.99;1184168.95;;;853946.99;-137969.21;-74877.0
C_029;0;GmbH;12489;85320;2003;57.0;GKV;456588.54;456588.54;238536.54;22198.16;-3787.6;;3787.6;18410.56;18410.56;15493.16;164892.34;133305.45;0.0;0.0;58041.54;;;1486.6;;;;;;28731.49;98955.94;71782.16;47422.64;;;15913.7;14765.0;3.96e-11
C_948;0;GmbH;14050;68320;2004;;GKV;18130473.31;18441933.31;6285511.66;1319856.71;66657.67;136071.01;49413.34;1386514.38;1386514.38;944692.51;12356675.72;8526214.77;0.0;323544.0;1149.2;;;619709.77;;;;;;1647551.95;11810555.72;9257462.09;5208889.72;728176.85;;2800425.59;-146048.9;-1325000.0
C_480;0;GmbH;13591;25110;2005;114.0;GKV;27893721.39;27893721.39;4991667.03;1383052.91;-16118.68;28692.22;244810.9;1366934.23;1366934.23;1042338.94;10181164.73;2799105.85;2864000.0;1030172.73;1440640.89;2500000.0;1000000.0;480787.38;;;;;;3487886.15;7189357.38;3564477.93;1652326.15;1466734.66;;1957058.64;-844105.47;1287335.03
C_118;1;GmbH;10405;61909;2005;543.0;GKV;2393931.77;2320239.73;1877586.18;119986.11;-23030.22;99.37;34172.55;96955.89;96955.89;80330.58;1518168.84;1275456.48;168276.1;0.0;129243.18;;;51673.49;;;;;;74436.26;1246189.84;448327.88;81267.95;291553.1;;262377.53;-57134.85;-47366.68
C_492;0;GmbH;10789;68102;2007;;GKV;389060052.2;390929446.3;302731931.8;96338222.51;-36977242.22;1294460.38;21054394.94;59360980.29;67231120.18;44680494.46;986738267.2;166083655.9;281670379.1;310622574.0;37461000.0;251339000.0;305396962.0;9320497.96;;;;;;152057501.6;86540904.02;86169611.33;8412973.44;17915852.91;;80367789.25;-52595702.09;55119344.15
C_074;0;GmbH;16761;52100;2007;;GKV;15369782.36;15390096.35;12815771.13;-613514.77;-205439.84;1238.72;206678.56;-818954.61;-818954.61;-818954.61;24104337.9;3862464.79;208892.0;4403332.72;315357.38;;4039228.49;685215.09;;;;;;-5.82e-11;2355355.36;2048197.1;985964.34;782299.98;;556053.15;-62149.98;-700396.21
C_512;0;GmbH;12627;43999;2009;;GKV;13861357.61;13861357.61;14692155.93;-2750057.85;-372820.49;3417.5;376237.99;-3122878.34;-3122878.34;-3080212.76;18189775.27;6782008.69;8800000.0;10381.0;;;;109826.41;;;;;;2597385.58;7312000.43;125928.18;533.59;;;-2388595.61;-214315.27;2602474.03
C_451;1;GmbH;14959;71121;2011;;GKV;29064526.85;29064526.85;18076141.42;-2362407.75;-482934.59;;482934.59;-2845342.34;-2845342.34;-2687136.0;21929329.86;15828834.36;0.0;0.0;;;;2527062.45;;;;;;6100495.5;21886765.37;998988.29;75718.03;204800.58;;324793.68;-3268.87;-294919.8
C_406;0;GmbH & Co. KG;38226;35230;1940;204.0;GKV;10504114.94;10504114.94;756766.61;299402.98;-425.5;5.0;430.5;298977.48;298977.48;205003.62;1149264.69;320142.21;0.0;0.0;;;;179158.91;;;;;;829122.48;1107288.55;555540.4;86510.13;;;-34831.37;-17102.12;8.15e-10
C_645;0;GmbH;9356;13920;1994;;GKV;64029135.39;64029135.39;34239122.96;1681117.3;-342334.24;;2596808.81;1338783.06;1338783.06;6.26e-09;53900570.68;30575310.68;0.0;23300260.0;;;;14533.96;;;;;;25000.0;42204581.18;4905363.9;;;;20630130.17;-3130931.5;-17499198.67
C_793;0;Sonst. Gewerbetreibende;38228;77120;1998;;GKV;3214467.37;3214467.37;2933679.21;-19252.15;-40938.39;9253.59;51453.73;-60190.54;-60190.54;-69717.57;1764028.26;293920.95;1006000.0;324259.0;;;;127108.42;;;;;;139848.31;439341.57;222170.18;189139.82;;;163911.75;-97592.57;-65673.03
C_047;0;GmbH;38350;55101;1997;;GKV;81499082.84;81499082.84;39098015.09;1941984.41;-74101.78;18069.31;93249.83;1867882.63;1867882.63;1256098.4;37267498.04;17482704.69;0.0;0.0;;;;854201.67;;;;;;19784793.35;34600844.82;15479763.44;13222233.53;1394085.33;;2490031.68;292286.98;-5295000.0
C_637;0;GmbH & Co. KG;27389;93210;1993;;GKV;64833495.38;64399996.94;31072276.13;1948257.64;-82463.41;2909.59;85373.0;1865794.23;1867630.53;1218425.86;29772107.97;23593067.46;0.0;837682.0;;;;3003281.43;;;;;;5341358.51;29115468.62;16053041.87;1360084.84;11860884.27;344000.0;297508.73;-718115.36;-5.12e-09
C_636;0;GmbH;28217;68100;2000;17.0;GKV;8412807.66;8412807.66;5003383.57;174622.97;-87110.1;437.63;89047.73;87512.87;87512.87;22530.37;3617782.06;1554208.97;1627652.02;179418.1;865124.37;;;349393.19;;;;;;256502.97;1131032.46;1138457.43;115136.38;853887.31;;1187942.46;-1041740.36;114030.47
C_862;0;GmbH & Co. KG;29379;24201;1949;;GKV;2645171.75;2655630.94;1437697.66;132243.02;-35124.71;;35517.25;97118.31;95362.47;92190.33;778285.67;480529.05;297756.62;0.0;133370.53;87174.66;;218802.52;;;;;;2.91e-11;346915.93;202916.25;8196.96;;;237517.08;-170853.4;51092.73
C_618;0;GmbH;29227;28120;1981;30.0;GKV;23021205.4;23021205.4;4888592.77;-1727783.48;-30534.14;;30534.14;-1758317.62;-1758317.62;-1758317.62;8339103.47;8339103.47;0.0;0.0;;;;74270.88;;;;;;0.0;5451412.89;3378903.61;26395.89;3088357.84;;-771177.33;-5562.63;493000.85
C_234;0;GmbH & Co. KG;29223;43911;1955;;GKV;1698254.82;1764345.3;1072192.16;67065.6;-24891.58;1380.34;26581.92;42174.02;42174.02;40157.72;458346.03;444859.81;11123.01;0.0;124846.01;11123.01;;82606.04;;;;;;2363.21;447465.03;222887.78;20041.48;;;61034.39;65461.52;-27474.44
C_400;0;AG;38442;96090;1999;152.0;GKV;1191591.44;1191591.44;834666.1;235862.88;1242.79;1453.98;211.19;237105.67;237105.67;166783.75;558457.88;164889.42;0.0;0.0;;;;3054.9;;;;;;393568.46;518714.25;459582.48;312662.28;;;188410.73;-13603.87;-668.56
C_870;0;GmbH;38536;43341;1999;;GKV;35723735.36;35723735.36;27771051.42;2072543.47;246689.24;192772.02;15507.0;2319232.71;2319232.71;-8.83e-09;8965297.74;7009544.59;0.0;155653.15;;;;1064268.9;;;;;;1800100.0;7466114.14;7546811.54;210478.4;3953699.04;;3027160.1;-263266.37;-2945088.99
